,job,education,contact
355,services,secondary,unknown
356,services,secondary,unknown
357,management,unknown,cellular
358,admin.,secondary,cellular
359,student,secondary,cellular
360,management,tertiary,cellular
361,blue-collar,primary,cellular
362,housemaid,primary,unknown
363,blue-collar,secondary,cellular
364,management,tertiary,cellular
365,student,secondary,cellular
366,technician,secondary,cellular
367,management,tertiary,cellular
368,technician,primary,cellular
369,entrepreneur,secondary,cellular
370,housemaid,tertiary,unknown
371,retired,primary,cellular
372,services,secondary,unknown
373,technician,secondary,cellular
374,admin.,secondary,cellular
375,services,secondary,cellular
376,management,primary,unknown
377,management,tertiary,cellular
378,technician,primary,unknown
379,services,secondary,cellular
380,blue-collar,secondary,cellular
381,blue-collar,primary,unknown
382,retired,tertiary,telephone
383,services,secondary,telephone
384,blue-collar,primary,cellular
385,blue-collar,primary,cellular
386,management,tertiary,unknown
387,technician,secondary,unknown
388,blue-collar,secondary,cellular
389,services,secondary,unknown
390,management,tertiary,cellular
391,blue-collar,primary,unknown
392,retired,unknown,cellular
393,technician,secondary,cellular
394,blue-collar,secondary,cellular
395,technician,secondary,unknown
396,admin.,secondary,cellular
397,technician,tertiary,cellular
398,blue-collar,primary,telephone
399,blue-collar,primary,cellular
400,technician,tertiary,cellular
401,blue-collar,secondary,cellular
402,blue-collar,secondary,cellular
403,retired,primary,cellular
404,blue-collar,secondary,unknown
405,self-employed,secondary,cellular
406,technician,tertiary,unknown
407,technician,secondary,cellular
408,management,secondary,telephone
409,admin.,secondary,cellular
410,management,tertiary,cellular
411,blue-collar,secondary,cellular
412,retired,tertiary,cellular
413,management,tertiary,cellular
414,blue-collar,secondary,telephone
415,management,tertiary,cellular
416,services,secondary,cellular
417,blue-collar,primary,cellular
418,self-employed,secondary,cellular
419,technician,secondary,cellular
420,admin.,secondary,unknown
421,management,tertiary,cellular
422,technician,tertiary,cellular
423,management,tertiary,cellular
424,services,secondary,unknown
425,blue-collar,primary,unknown
426,blue-collar,primary,unknown
427,technician,tertiary,unknown
428,blue-collar,secondary,unknown
429,management,tertiary,cellular
430,management,primary,cellular
431,management,tertiary,cellular
432,technician,tertiary,cellular
433,blue-collar,secondary,cellular
434,management,tertiary,cellular
435,entrepreneur,tertiary,unknown
436,self-employed,tertiary,cellular
437,admin.,secondary,cellular
438,management,secondary,cellular
439,management,tertiary,cellular
440,admin.,tertiary,unknown
441,admin.,secondary,cellular
442,technician,secondary,cellular
443,management,tertiary,telephone
444,retired,secondary,cellular
445,blue-collar,secondary,cellular
446,technician,secondary,unknown
447,retired,tertiary,cellular
448,admin.,secondary,cellular
449,entrepreneur,tertiary,cellular
450,technician,secondary,cellular
451,admin.,secondary,cellular
452,technician,secondary,unknown
453,blue-collar,secondary,cellular
454,management,tertiary,cellular
455,blue-collar,secondary,unknown
456,self-employed,tertiary,cellular
457,services,secondary,cellular
458,technician,secondary,cellular
459,management,tertiary,cellular
460,unemployed,tertiary,unknown
461,blue-collar,secondary,cellular
462,management,tertiary,unknown
463,blue-collar,secondary,cellular
464,blue-collar,secondary,cellular
465,housemaid,secondary,telephone
466,self-employed,secondary,unknown
467,management,tertiary,unknown
468,management,secondary,cellular
469,blue-collar,primary,unknown
470,management,tertiary,cellular
471,self-employed,secondary,unknown
472,entrepreneur,secondary,cellular
473,admin.,secondary,cellular
474,management,tertiary,unknown
475,blue-collar,primary,unknown
476,blue-collar,secondary,unknown
477,retired,tertiary,telephone
478,services,secondary,unknown
479,blue-collar,secondary,unknown
480,management,unknown,unknown
481,management,secondary,telephone
482,technician,secondary,cellular
483,management,tertiary,cellular
484,management,tertiary,cellular
485,housemaid,primary,unknown
486,services,secondary,cellular
487,blue-collar,primary,unknown
488,blue-collar,primary,unknown
489,management,tertiary,cellular
490,blue-collar,unknown,unknown
491,services,secondary,unknown
492,admin.,secondary,telephone
493,admin.,secondary,cellular
494,technician,secondary,cellular
495,management,tertiary,unknown
496,housemaid,secondary,cellular
497,technician,secondary,cellular
498,technician,secondary,unknown
499,management,tertiary,cellular
500,management,tertiary,cellular
501,admin.,secondary,telephone
502,management,tertiary,cellular
503,student,primary,cellular
504,management,tertiary,cellular
505,unemployed,secondary,unknown
506,self-employed,primary,cellular
507,self-employed,tertiary,unknown
508,blue-collar,secondary,cellular
509,blue-collar,secondary,cellular
510,blue-collar,secondary,cellular
511,management,tertiary,cellular
512,technician,secondary,cellular
513,management,tertiary,unknown
514,management,tertiary,cellular
515,unemployed,primary,cellular
516,technician,tertiary,unknown
517,blue-collar,primary,cellular
518,management,tertiary,cellular
519,retired,secondary,cellular
520,services,secondary,unknown
521,entrepreneur,secondary,telephone
522,admin.,secondary,cellular
523,blue-collar,primary,cellular
524,services,secondary,unknown
525,retired,primary,unknown
526,admin.,secondary,unknown
527,unemployed,secondary,cellular
528,services,primary,cellular
529,management,tertiary,telephone
530,services,secondary,cellular
531,management,primary,telephone
532,admin.,secondary,cellular
533,technician,secondary,unknown
534,blue-collar,secondary,cellular
535,blue-collar,primary,cellular
536,management,tertiary,cellular
537,management,secondary,cellular
538,technician,tertiary,cellular
539,admin.,secondary,unknown
540,admin.,secondary,cellular
541,technician,unknown,cellular
542,services,secondary,cellular
543,blue-collar,secondary,unknown
544,admin.,secondary,cellular
545,blue-collar,primary,cellular
546,self-employed,secondary,cellular
547,management,tertiary,cellular
548,management,tertiary,telephone
549,student,secondary,cellular
550,blue-collar,primary,unknown
551,technician,secondary,cellular
552,retired,secondary,cellular
553,self-employed,tertiary,unknown
554,technician,secondary,unknown
555,admin.,secondary,cellular
556,blue-collar,primary,cellular
557,management,tertiary,cellular
558,blue-collar,secondary,cellular
559,technician,secondary,cellular
560,technician,secondary,unknown
561,student,secondary,cellular
562,services,secondary,cellular
563,technician,secondary,cellular
564,blue-collar,secondary,unknown
565,technician,secondary,cellular
566,self-employed,tertiary,cellular
567,management,tertiary,unknown
568,unemployed,primary,cellular
569,student,secondary,cellular
570,entrepreneur,unknown,unknown
571,self-employed,secondary,cellular
572,management,tertiary,cellular
573,retired,secondary,cellular
574,services,secondary,cellular
575,retired,unknown,cellular
576,services,secondary,cellular
577,management,tertiary,cellular
578,blue-collar,secondary,cellular
579,technician,tertiary,cellular
580,management,tertiary,cellular
581,technician,secondary,cellular
582,admin.,secondary,telephone
583,management,tertiary,cellular
584,technician,secondary,cellular
585,management,tertiary,cellular
586,self-employed,secondary,cellular
587,self-employed,tertiary,cellular
588,blue-collar,secondary,unknown
589,blue-collar,secondary,cellular
590,self-employed,tertiary,unknown
591,technician,secondary,cellular
592,services,secondary,unknown
593,technician,secondary,cellular
594,unemployed,tertiary,cellular
595,entrepreneur,unknown,cellular
596,housemaid,primary,cellular
597,housemaid,primary,cellular
598,retired,unknown,cellular
599,technician,secondary,telephone
600,retired,tertiary,cellular
601,entrepreneur,tertiary,telephone
602,blue-collar,primary,cellular
603,services,secondary,cellular
604,blue-collar,primary,cellular
605,admin.,secondary,cellular
606,blue-collar,secondary,unknown
607,technician,tertiary,cellular
608,unemployed,tertiary,telephone
609,technician,tertiary,cellular
610,services,secondary,unknown
611,blue-collar,secondary,unknown
612,entrepreneur,tertiary,cellular
613,self-employed,tertiary,cellular
614,technician,tertiary,cellular
615,blue-collar,secondary,unknown
616,management,tertiary,cellular
617,management,secondary,cellular
618,technician,tertiary,cellular
619,technician,tertiary,cellular
620,blue-collar,primary,unknown
621,technician,tertiary,cellular
622,blue-collar,secondary,cellular
623,management,tertiary,cellular
624,self-employed,tertiary,cellular
625,technician,secondary,unknown
626,management,tertiary,cellular
627,retired,secondary,cellular
628,technician,secondary,cellular
629,management,tertiary,cellular
630,management,tertiary,cellular
631,technician,tertiary,cellular
632,blue-collar,secondary,unknown
633,retired,secondary,cellular
634,self-employed,tertiary,unknown
635,management,tertiary,cellular
636,blue-collar,primary,unknown
637,self-employed,secondary,cellular
638,blue-collar,secondary,cellular
639,management,tertiary,unknown
640,admin.,unknown,unknown
641,unknown,unknown,unknown
642,admin.,secondary,unknown
643,management,tertiary,unknown
644,entrepreneur,tertiary,cellular
645,self-employed,secondary,cellular
646,technician,tertiary,cellular
647,management,tertiary,telephone
648,entrepreneur,secondary,cellular
649,management,primary,cellular
650,housemaid,tertiary,cellular
651,entrepreneur,tertiary,cellular
652,self-employed,tertiary,unknown
653,services,secondary,cellular
654,retired,secondary,cellular
655,retired,primary,unknown
656,retired,primary,cellular
657,retired,primary,cellular
658,technician,secondary,cellular
659,management,tertiary,cellular
660,technician,secondary,cellular
661,management,tertiary,cellular
662,technician,tertiary,cellular
663,entrepreneur,primary,cellular
664,blue-collar,secondary,unknown
665,technician,secondary,telephone
666,management,tertiary,cellular
667,management,primary,cellular
668,retired,secondary,cellular
669,technician,secondary,telephone
670,blue-collar,secondary,unknown
671,technician,secondary,cellular
672,entrepreneur,unknown,cellular
673,management,tertiary,unknown
674,unemployed,secondary,cellular
675,technician,secondary,cellular
676,management,tertiary,telephone
677,blue-collar,secondary,cellular
678,services,secondary,unknown
679,housemaid,primary,unknown
680,admin.,unknown,cellular
681,technician,secondary,cellular
682,self-employed,secondary,cellular
683,technician,tertiary,cellular
684,services,secondary,cellular
685,services,secondary,cellular
686,management,tertiary,cellular
687,blue-collar,primary,unknown
688,management,primary,telephone
689,technician,tertiary,unknown
690,technician,secondary,unknown
691,student,tertiary,cellular
692,blue-collar,primary,unknown
693,entrepreneur,unknown,cellular
694,management,tertiary,cellular
695,retired,secondary,cellular
696,self-employed,tertiary,cellular
697,technician,secondary,cellular
698,blue-collar,secondary,unknown
699,entrepreneur,tertiary,cellular
700,services,secondary,cellular
701,technician,tertiary,cellular
702,management,tertiary,cellular
703,blue-collar,secondary,unknown
704,retired,unknown,unknown
705,self-employed,tertiary,unknown
706,technician,tertiary,cellular
707,retired,primary,unknown
708,blue-collar,secondary,unknown
709,housemaid,primary,unknown
710,blue-collar,primary,unknown
711,housemaid,secondary,cellular
712,technician,tertiary,cellular
713,student,secondary,cellular
714,management,tertiary,cellular
715,admin.,secondary,cellular
716,blue-collar,secondary,cellular
717,management,tertiary,unknown
718,blue-collar,secondary,cellular
719,blue-collar,secondary,cellular
720,entrepreneur,tertiary,unknown
721,technician,tertiary,cellular
722,management,tertiary,cellular
723,services,secondary,unknown
724,technician,secondary,cellular
725,management,tertiary,cellular
726,management,tertiary,cellular
727,student,unknown,cellular
728,technician,secondary,cellular
729,management,tertiary,cellular
730,self-employed,secondary,unknown
731,blue-collar,primary,cellular
732,management,tertiary,cellular
733,admin.,secondary,cellular
734,admin.,secondary,cellular
735,services,secondary,cellular
736,technician,secondary,cellular
737,technician,secondary,cellular
738,technician,secondary,cellular
739,services,secondary,cellular
740,management,tertiary,cellular
741,management,secondary,cellular
742,services,secondary,cellular
743,retired,primary,cellular
744,management,tertiary,cellular
745,management,secondary,telephone
746,technician,secondary,cellular
747,blue-collar,secondary,cellular
748,entrepreneur,primary,cellular
749,blue-collar,primary,unknown
750,admin.,primary,unknown
751,admin.,secondary,telephone
752,blue-collar,primary,unknown
753,technician,secondary,cellular
754,blue-collar,secondary,unknown
755,admin.,secondary,cellular
756,management,tertiary,cellular
757,admin.,secondary,cellular
758,blue-collar,primary,unknown
759,entrepreneur,tertiary,cellular
760,admin.,secondary,cellular
761,blue-collar,primary,unknown
762,management,tertiary,cellular
763,technician,secondary,cellular
764,services,secondary,cellular
765,management,secondary,cellular
766,management,primary,unknown
767,admin.,secondary,unknown
768,admin.,primary,cellular
769,management,tertiary,cellular
770,blue-collar,secondary,cellular
771,technician,secondary,unknown
772,management,tertiary,cellular
773,unemployed,secondary,cellular
774,blue-collar,primary,unknown
775,management,tertiary,unknown
776,technician,secondary,telephone
777,technician,secondary,unknown
778,blue-collar,primary,unknown
779,unknown,primary,unknown
780,blue-collar,secondary,unknown
781,blue-collar,secondary,cellular
782,management,tertiary,cellular
783,blue-collar,primary,unknown
784,blue-collar,secondary,unknown
785,student,tertiary,cellular
786,management,tertiary,cellular
787,blue-collar,primary,cellular
788,technician,secondary,cellular
789,blue-collar,primary,telephone
790,management,tertiary,cellular
791,management,tertiary,cellular
792,student,secondary,cellular
793,management,tertiary,unknown
794,blue-collar,secondary,unknown
795,management,tertiary,unknown
796,services,secondary,unknown
797,management,secondary,telephone
798,student,unknown,cellular
799,services,unknown,cellular
800,management,tertiary,cellular
801,blue-collar,secondary,cellular
802,management,secondary,cellular
803,housemaid,secondary,cellular
804,management,tertiary,cellular
805,technician,secondary,cellular
806,technician,unknown,cellular
807,blue-collar,secondary,cellular
808,technician,secondary,cellular
809,management,tertiary,cellular
810,blue-collar,secondary,cellular
811,services,secondary,cellular
812,admin.,tertiary,cellular
813,management,secondary,cellular
814,technician,secondary,cellular
815,blue-collar,secondary,cellular
816,technician,secondary,cellular
817,services,secondary,unknown
818,blue-collar,primary,cellular
819,services,secondary,cellular
820,management,secondary,cellular
821,management,tertiary,cellular
822,self-employed,tertiary,cellular
823,management,tertiary,cellular
824,technician,tertiary,telephone
825,entrepreneur,tertiary,cellular
826,technician,secondary,cellular
827,blue-collar,primary,cellular
828,unemployed,primary,telephone
829,management,tertiary,cellular
830,management,tertiary,cellular
831,blue-collar,secondary,unknown
832,retired,secondary,cellular
833,admin.,secondary,unknown
834,unemployed,secondary,cellular
835,services,secondary,cellular
836,housemaid,primary,unknown
837,services,secondary,cellular
838,technician,tertiary,cellular
839,entrepreneur,tertiary,unknown
840,technician,secondary,unknown
841,technician,secondary,cellular
842,services,secondary,unknown
843,management,secondary,cellular
844,services,secondary,cellular
845,technician,secondary,cellular
846,technician,secondary,cellular
847,retired,primary,cellular
848,blue-collar,secondary,telephone
849,housemaid,primary,cellular
850,management,tertiary,unknown
851,blue-collar,secondary,cellular
852,management,secondary,cellular
853,technician,tertiary,cellular
854,management,secondary,cellular
855,management,tertiary,cellular
856,technician,secondary,unknown
857,blue-collar,secondary,cellular
858,technician,tertiary,cellular
859,entrepreneur,tertiary,cellular
860,blue-collar,primary,cellular
861,management,tertiary,cellular
862,admin.,secondary,unknown
863,self-employed,primary,unknown
864,management,primary,unknown
865,blue-collar,secondary,unknown
866,retired,secondary,unknown
867,blue-collar,primary,cellular
868,technician,secondary,cellular
869,technician,secondary,cellular
870,technician,secondary,unknown
871,housemaid,primary,cellular
872,technician,secondary,cellular
873,technician,tertiary,telephone
874,management,tertiary,cellular
875,admin.,secondary,cellular
876,entrepreneur,tertiary,cellular
877,management,tertiary,cellular
878,self-employed,secondary,cellular
879,technician,tertiary,unknown
880,admin.,secondary,cellular
881,technician,secondary,telephone
882,housemaid,primary,cellular
883,entrepreneur,primary,telephone
884,management,primary,cellular
885,technician,secondary,cellular
886,technician,primary,unknown
887,blue-collar,secondary,unknown
888,blue-collar,primary,unknown
889,management,tertiary,cellular
890,blue-collar,primary,telephone
891,management,tertiary,cellular
892,student,tertiary,cellular
893,management,secondary,cellular
894,technician,tertiary,cellular
895,blue-collar,secondary,cellular
896,technician,secondary,cellular
897,blue-collar,secondary,cellular
898,blue-collar,primary,cellular
899,blue-collar,unknown,unknown
900,technician,secondary,cellular
901,technician,tertiary,cellular
902,technician,secondary,cellular
903,admin.,tertiary,cellular
904,management,tertiary,cellular
905,services,secondary,cellular
906,blue-collar,primary,cellular
907,management,tertiary,unknown
908,services,secondary,cellular
909,entrepreneur,secondary,unknown
910,blue-collar,secondary,unknown
911,retired,primary,unknown
912,technician,tertiary,unknown
913,management,tertiary,cellular
914,technician,secondary,cellular
915,management,secondary,cellular
916,blue-collar,secondary,unknown
917,self-employed,secondary,cellular
918,admin.,secondary,cellular
919,blue-collar,secondary,unknown
920,technician,tertiary,cellular
921,management,tertiary,cellular
922,blue-collar,secondary,cellular
923,blue-collar,secondary,unknown
924,housemaid,primary,cellular
925,blue-collar,primary,unknown
926,admin.,primary,cellular
927,technician,secondary,unknown
928,retired,tertiary,unknown
929,admin.,secondary,unknown
930,blue-collar,primary,cellular
931,admin.,secondary,cellular
932,management,tertiary,cellular
933,blue-collar,secondary,unknown
934,management,secondary,unknown
935,blue-collar,primary,cellular
936,entrepreneur,tertiary,cellular
937,blue-collar,secondary,unknown
938,technician,secondary,unknown
939,management,tertiary,cellular
940,blue-collar,unknown,cellular
941,management,tertiary,cellular
942,management,tertiary,cellular
943,technician,secondary,unknown
944,blue-collar,secondary,cellular
945,technician,secondary,cellular
946,management,tertiary,cellular
947,services,secondary,unknown
948,blue-collar,unknown,cellular
949,management,secondary,cellular
950,technician,secondary,cellular
951,management,tertiary,cellular
952,admin.,secondary,telephone
953,management,tertiary,cellular
954,retired,unknown,cellular
955,management,tertiary,cellular
956,unemployed,secondary,cellular
957,management,unknown,unknown
958,technician,secondary,unknown
959,technician,tertiary,cellular
960,technician,secondary,cellular
961,blue-collar,secondary,cellular
962,admin.,secondary,cellular
963,blue-collar,secondary,unknown
964,management,primary,cellular
965,management,tertiary,cellular
966,self-employed,secondary,unknown
967,blue-collar,secondary,cellular
968,management,tertiary,cellular
969,blue-collar,primary,telephone
970,self-employed,primary,cellular
971,admin.,secondary,cellular
972,services,secondary,unknown
973,technician,secondary,cellular
974,blue-collar,primary,cellular
975,blue-collar,secondary,cellular
976,services,secondary,unknown
977,self-employed,tertiary,cellular
978,entrepreneur,tertiary,cellular
979,blue-collar,primary,unknown
980,management,tertiary,unknown
981,blue-collar,secondary,cellular
982,blue-collar,secondary,unknown
983,technician,secondary,cellular
984,self-employed,tertiary,cellular
985,blue-collar,secondary,telephone
986,management,tertiary,unknown
987,blue-collar,secondary,cellular
988,management,tertiary,cellular
989,retired,primary,cellular
990,management,tertiary,cellular
991,admin.,tertiary,cellular
992,blue-collar,primary,unknown
993,admin.,secondary,cellular
994,housemaid,primary,cellular
995,blue-collar,secondary,cellular
996,management,secondary,cellular
997,management,tertiary,cellular
998,services,secondary,unknown
999,student,secondary,telephone
1000,technician,secondary,cellular
1001,technician,tertiary,cellular
1002,admin.,secondary,unknown
